Date,State,City,Diesel,Regular,Mid,Premium
06/04/2016,AZ,Flagstaff,2.360,2.374,2.546,2.659
06/04/2016,AZ,Phoenix-Mesa,2.208,2.187,2.411,2.613
06/04/2016,AZ,Pima County,2.197,2.084,2.269,2.461
06/04/2016,AZ,Yuma,2.266,2.223,2.432,2.619
06/04/2016,AZ,Phoenix Proper,2.197,2.176,2.401,2.599
06/04/2016,AZ,East Valley,2.193,2.159,2.380,2.579
06/04/2016,AZ,West Valley,2.188,2.168,2.407,2.624
06/04/2016,AZ,Scottsdale,2.252,2.288,2.525,2.732
06/04/2016,AZ,Tucson,2.170,2.068,2.260,2.451
06/04/2016,AZ,Glendale,2.201,2.176,2.417,2.643
06/04/2016,AZ,Peoria,2.190,2.161,2.411,2.612
06/04/2016,AZ,Prescott,2.181,2.206,2.389,2.545
06/04/2016,NV,Reno,2.713,2.758,2.894,3.013
06/04/2016,NV,Las Vegas (NV only),2.460,2.438,2.596,2.734
06/04/2016,CA,Bakersfield,2.818,2.821,2.960,3.065
06/04/2016,CA,Chico-Paradise,2.654,2.658,2.804,2.915
06/04/2016,CA,Fresno,2.760,2.787,2.926,3.031
06/04/2016,CA,Los Angeles-Long Beach,2.717,2.845,2.967,3.066
06/04/2016,CA,Merced,2.802,2.781,2.923,3.044
06/04/2016,CA,Modesto,2.709,2.685,2.837,2.944
06/04/2016,CA,Oakland,2.816,2.852,2.984,3.089
06/04/2016,CA,Orange County,2.712,2.822,2.936,3.033
06/04/2016,CA,Redding,2.821,2.793,2.925,3.031
06/04/2016,CA,Riverside-San Bernardino,2.686,2.803,2.914,3.025
06/04/2016,CA,Sacramento,2.759,2.718,2.863,2.980
06/04/2016,CA,Salinas,2.796,2.867,2.995,3.126
06/04/2016,CA,San Diego,2.716,2.824,2.959,3.075
06/04/2016,CA,San Francisco,2.855,2.979,3.111,3.214
06/04/2016,CA,San Jose,2.811,2.878,3.012,3.112
06/04/2016,CA,San Luis Obispo-Atascadero-Paso Robles,2.870,2.967,3.114,3.223
06/04/2016,CA,Santa Barbara-Santa Maria-Lompoc,2.737,2.876,2.975,3.091
06/04/2016,CA,Santa Cruz-Watsonville,2.722,2.798,2.918,3.042
06/04/2016,CA,Santa Rosa,2.794,2.854,2.977,3.073
06/04/2016,CA,Stockton-Lodi,2.742,2.718,2.848,2.958
06/04/2016,CA,Vallejo-Fairfield-Napa,2.754,2.777,2.910,3.014
06/04/2016,CA,Ventura,2.646,2.831,2.938,3.039
06/04/2016,CA,Visalia-Tulare-Porterville,2.731,2.740,2.870,2.985
06/04/2016,CA,Yolo,2.749,2.713,2.846,2.971
06/04/2016,CA,Yuba City,2.675,2.629,2.789,2.887
06/04/2016,OR,Eugene-Springfield,2.530,2.542,2.662,2.814
06/04/2016,OR,Medford-Ashland,2.550,2.572,2.691,2.816
06/04/2016,OR,Salem,2.450,2.424,2.576,2.739
06/04/2016,OR,Portland-Vancouver (OR only),2.475,2.471,2.628,2.775
06/04/2016,WA,Bellingham,2.631,2.680,2.841,2.952
06/04/2016,WA,Bremerton,2.714,2.606,2.753,2.879
06/04/2016,WA,Olympia,2.690,2.634,2.799,2.934
06/04/2016,WA,Richland-Kennewick-Pasco,2.574,2.482,2.622,2.759
06/04/2016,WA,Seattle-Bellevue-Everett,2.693,2.652,2.811,2.930
06/04/2016,WA,Spokane,2.538,2.544,2.671,2.792
06/04/2016,WA,Tacoma,2.699,2.615,2.759,2.890
06/04/2016,WA,Yakima,2.614,2.566,2.695,2.829
06/04/2016,WA,Vancouver,2.560,2.520,2.667,2.829
06/04/2016,VA,Charlottesville,2.206,2.172,2.472,2.712
06/04/2016,VA,Norfolk-Virginia Beach-Newport News,2.198,2.199,2.489,2.765
06/04/2016,VA,Richmond-Petersburg,2.218,2.163,2.445,2.716
06/04/2016,VA,Roanoke,2.196,2.153,2.372,2.637
